led_id,hex,bits
0,0x1a6464,110100110010001100100
1,0x148b3b,101001000101100111011
2,0x0269c5,000100110100111000101
3,0x0d222a,011010010001000101010
4,0x1698e5,101101001100011100101
5,0x1c6b3a,111000110101100111010
6,0x0595c9,001011001010111001001
7,0x08e8b6,010001110100010110110
8,0x137758,100110111011101011000
9,0x044996,001000100100110010110
10,0x13baa9,100111011101010101001
11,0x1649d3,101100100100111010011
12,0x0b922e,010111001001000101110
13,0x08ec91,010001110110010010001
14,0x1453a2,101000101001110100010
15,0x0aa275,010101010001001110101
16,0x1744ce,101110100010011001110
17,0x19ad39,110011010110100111001
18,0x063277,001100011001001110111
19,0x1c8d68,111001000110101101000
20,0x0a66b5,010100110011010110101
21,0x1751d8,101110101000111011000
22,0x089627,010001001011000100111
23,0x1548ea,101010100100011101010
24,0x0e3396,011100011001110010110
25,0x11ca6d,100011100101001101101
26,0x0d1599,011010001010110011001
27,0x02d365,000101101001101100101
28,0x1924ea,110010010010011101010
29,0x02c9d9,000101100100111011001
30,0x09b266,010011011001001100110
31,0x146db3,101000110110110110011
32,0x11965c,100011001011001011100
33,0x0d5ba7,011010101101110100111
34,0x13251b,100110010010100011011
35,0x0d6a6c,011010110101001101100
36,0x1395c6,100111001010111000110
37,0x144a38,101000100101000111000
38,0x09b746,010011011011101000110
39,0x14e2ad,101001110001010101101
40,0x0a3b3a,010100011101100111010
41,0x11a6c6,100011010011011000110
42,0x0a9d69,010101001110101101001
43,0x044a8e,001000100101010001110
44,0x18edb1,110001110110110110001
45,0x023347,000100011001101000111
46,0x15aee8,101011010111011101000
47,0x0b4733,010110100011100110011
48,0x1891dd,110001001000111011101
49,0x174c66,101110100110001100110
50,0x1a9b58,110101001101101011000
51,0x04e4e7,001001110010011100111
52,0x1bab48,110111010101101001000
53,0x025625,000100101011000100101
54,0x1c9976,111001001100101110110
55,0x116ecd,100010110111011001101
56,0x0dd12b,011011101000100101011
57,0x124c94,100100100110010010100
58,0x0d332b,011010011001100101011
59,0x1364d2,100110110010011010010
60,0x08bb23,010001011101100100011
61,0x13671c,100110110011100011100
62,0x04b9a7,001001011100110100111
63,0x1ac64e,110101100011001001110
64,0x0522b1,001010010001010110001
65,0x1a74d6,110100111010011010110
66,0x198ee9,110011000111011101001
67,0x177114,101110111000100010100
68,0x089ac9,010001001101011001001
69,0x12272e,100100010011100101110
70,0x0b51c5,010110101000111000101
71,0x15ad2e,101011010110100101110
72,0x0a76d5,010100111011011010101
73,0x156d2b,101010110110100101011
74,0x18a2b4,110001010001010110100
75,0x05776b,001010111011101101011
76,0x16ac92,101101010110010010010
77,0x095625,010010101011000100101
78,0x1a39ba,110100011100110111010
79,0x174624,101110100011000100100
80,0x0e358b,011100011010110001011
81,0x12cee5,100101100111011100101
82,0x0d531c,011010101001100011100
83,0x14ed73,101001110110101110011
