Scanline 0
Bit 00 1111111111111111___________________
Bit 01 1111111111111111___________________
Bit 02 1111111111111111___________________
Bit 03 1111111111111111___________________
Bit 04 1111111111111111___________________
Bit 05 1111111111111111___________________
Bit 06 1111111111111111___________________
Bit 07 1111111111111111___________________
Bit 08 1111111____________________________
Bit 09 1111111____________________________
Bit 10 1111111____________________________
Bit 11 1111111____________________________
Bit 12 1111111____________________________
Bit 13 1111111____________________________
Bit 14 1111111____________________________
Bit 15 1111111____________________________
Bit 16 1111111____________________________
Bit 17 1111111____________________________
Bit 18 1111111____________________________
Bit 19 1111111____________________________
Bit 20 1111111____________________________
Bit 21 1111111____________________________
Bit 22 1111111____________________________
Bit 23 1111111____________________________
